,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health,quality_of_life_index
"Belleville, IL",50123.737708936016,28438.020208936003,40315.285208936,37816.909708936,26619.805708936,11612.413708936001,42120.66570893601,16001.257708936,13401.408208935998,27957.351208936,2963.574208935999,11627.754208936001,-2845.7732910640007,2843.9822089360023,-958.0467910640036,2852.287208935999,9226.374708936,4398.6782089359995,28618.453708936006,14731.648708935998,8081.115208935999,5697.5802089359995,20693.218291064,350.0,2473,0.0
"Bellevue, WA",46585.34874312001,16622.488743120004,41003.148743120015,29939.82874312,13309.048743120002,-2337.7512568800007,23576.348743120005,-219.27125687999802,-372.15125687999534,19631.72874312,-10361.05125688,1104.3887431199983,-17377.29125688,-12805.69125688,-15249.451256879998,-11746.17125688,-9438.87125688,-14344.81125688,2789.188743120001,149.6687431199971,-8572.291256880002,-8025.53125688,40588.17125688,577.5,1955,0.0
"Bellingham, WA",59038.623137092,29075.763137092003,53456.423137092,42393.103137092,25762.323137092,10115.523137091994,36029.623137092,12234.003137091997,12081.123137092,32085.003137092,2092.2231370919944,13557.663137091991,-4924.016862908004,-352.416862908005,-2796.1768629080034,707.1031370919953,3014.403137091995,-1891.5368629080042,15242.463137091998,12602.943137091992,3880.983137091993,4427.743137091995,28134.896862908005,457.2000000000001,1955,0.0
"Bend, OR",35425.06501225599,17932.975012255996,29159.895012256,28687.315012255996,13404.505012255997,4162.6450122559945,24832.975012256,6973.705012255992,5483.305012255998,27967.295012256,543.9650122559979,5227.315012255993,-8639.784987744002,-5502.6949877440065,-7046.354987744006,-4746.664987744003,1364.7750122559955,-3154.0249877440037,6029.785012255994,3836.275012255999,665.6250122559977,-577.8349877440014,28005.844987744003,824.00000004,2000,0.0
"Bentonville, AR",30942.268707282998,17023.732707283,24066.89870728301,23847.91070728301,14287.804707283001,7269.380707283007,15077.725707283003,8283.409707283,4567.723707283003,14053.885707283007,-2967.253292716996,5024.816707283004,-6743.823292716999,-5094.698292716999,-6202.743292716998,-3684.3732927169954,1746.3167072830038,-132.8032927169952,6271.4767072830045,4559.9027072829995,2027.6867072830025,1293.136707283,23365.333292717,309.94642852,2213,0.0
"Bergen County, NJ",55257.46064732298,18277.265847322982,29184.507147322987,23052.889347322984,20374.223247322992,-1175.3728526770135,24686.409147322982,3610.5459473229853,487.08894732298364,18844.575447322983,-13188.359252677012,-6953.405952677014,-18192.58425267701,-13641.171752677012,-15814.671752677017,-13002.059252677012,-9679.941752677012,-16276.109252677012,3156.1590473229885,-489.8066526770126,-8917.371752677016,-11005.371752677012,38741.64675267701,488.75,2737,0.0
"Berkeley, CA",34150.307466910985,7251.164466910981,23947.20846691097,19857.831466910982,8487.764466910987,-9453.34653308902,25985.56046691097,-5780.446533089009,-3795.1085330890132,13531.336466910994,-16307.906533089012,-10972.346533089009,-23800.686533089014,-19704.00653308901,-23972.886533089008,-19064.76653308901,-16681.086533089012,-24612.966533089013,-6514.746533089013,-9741.046533089017,-18088.12653308901,-18653.10653308901,44997.24653308901,882.5,2121,0.0
"Bethlehem, PA",51544.583981967015,21685.21748196699,31366.173481967,27397.131381967003,20544.033581967,1921.6806819669987,28891.984881967,12080.690081966997,4171.828581966998,18909.810281967,-3343.0563180330028,3506.5481819669953,-11319.681918033002,-6287.579418033006,-8917.012218033004,-5937.667818033006,999.4145819669977,-3648.804318033002,6584.574581966997,4927.872281966993,2668.289081966996,-748.4448180330037,29204.241318033004,455.0,2321,0.0
"Billings, MT",34090.835806941985,17312.65780694199,19821.065806941984,25504.088806941996,13018.928806941987,7509.862806941983,18000.194806941992,7192.761806941989,2312.163806941986,21532.442806941992,34.87580694198914,7197.260806941988,-6205.769193058015,-2342.9761930580103,-4228.5511930580105,-2226.192193058014,2896.894806941989,1453.3148069419876,10437.287806941986,6955.520806941986,5424.781806941988,5741.071806941988,23383.56019305801,662.98,2349,0.0
"Biloxi, MS",25329.62416197501,16483.484161975,20966.414161975,27034.904161975,14073.024161975007,4861.864161975005,18961.834161975,4745.814161975002,5271.054161975,13524.794161974998,-5904.895838024998,-261.7258380249987,-9405.835838024996,-8278.695838025,-8850.565838024999,-7057.765838024996,-680.0458380249984,2436.604161975003,5143.234161975004,3499.704161975001,361.60416197500314,-2319.2958380249984,25517.795838025,269.99999996,2383,0.0
